entry_id,yes_parents,yes_children,christian_parents,christian_children,n_children,n_parents,answer_value,entry_name,year_from,christian_tradition,n_downstream,yes_downstream,christian_downstream,n_upstream,yes_upstream,christian_upstream
926,0.64,0.22,0.09,0.0,9.0,11.0,0.0,Ladakhi Buddhism,842,False,54,0.7,0.31,130,0.33,0.2
927,0.23,0.5,0.08,0.67,6.0,13.0,0.0,Zealots,0,False,142,0.71,0.37,61,0.08,0.03
929,0.44,0.4,0.06,0.1,10.0,18.0,0.0,Drikung Kagyu,1143,False,16,0.56,0.19,147,0.37,0.18
931,1.0,,0.67,,,3.0,1.0,The Society of Jesus (Jesuits) in Britain,1580,True,0,,,162,0.43,0.22
933,0.35,0.78,0.22,0.51,45.0,23.0,0.0,Marcionites,144,True,131,0.73,0.34,83,0.14,0.13
940,0.1,0.5,0.05,0.7,10.0,20.0,1.0,Julio-Claudian Imperial Cult,-31,False,146,0.71,0.38,59,0.07,0.03
946,0.69,0.27,0.0,0.07,15.0,13.0,0.0,Nyingma (rnying ma),700,False,62,0.66,0.27,124,0.33,0.2
948,0.8,0.33,0.4,0.67,3.0,5.0,1.0,Christianity in Ephesus,120,True,133,0.72,0.35,71,0.15,0.13
957,0.0,0.4,0.0,0.0,5.0,1.0,0.0,Spartan Religion,-800,False,176,0.61,0.32,1,0.0,0.0
958,1.0,1.0,1.0,1.0,2.0,3.0,1.0,Society of Jesus,1540,True,5,1.0,0.8,159,0.42,0.21
960,0.45,0.18,0.0,0.09,11.0,11.0,0.0,Bön (Bon),1000,False,21,0.48,0.14,131,0.33,0.2
963,0.82,1.0,0.41,0.5,8.0,17.0,1.0,The Knights Templar,1119,True,23,0.96,0.52,155,0.4,0.19
965,0.5,0.75,0.5,0.75,4.0,8.0,1.0,Pachomian Monasticism,323,True,110,0.75,0.28,91,0.15,0.15
966,0.29,0.67,0.07,0.0,3.0,14.0,1.0,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,",1318,False,6,0.83,0.33,163,0.37,0.17
970,0.05,0.51,0.05,0.64,45.0,20.0,1.0,Cult of Isis (Mysteries of Isis),-323,False,156,0.68,0.35,50,0.02,0.04
971,0.33,0.33,0.0,0.08,12.0,3.0,0.0,Gāṇapatya,500,False,88,0.72,0.22,110,0.25,0.2
972,0.46,0.59,0.21,0.09,66.0,24.0,1.0,Nestorian Christianity,431,False,104,0.74,0.26,109,0.25,0.2
974,0.75,,0.75,,,4.0,1.0,"Greek Chalcedonian Christians, Nicaea",1204,True,0,,,113,0.27,0.22
976,0.33,0.0,0.0,0.0,2.0,3.0,0.0,Mising Community,1187,False,13,0.62,0.23,148,0.36,0.18
977,0.33,0.56,0.07,0.11,9.0,27.0,0.0,Chishti Sufis,1200,False,12,0.67,0.25,162,0.37,0.17
980,0.33,,0.0,,,3.0,0.0,Pure Land Buddhist Schools in Early Medieval Japan,1175,False,0,,,13,0.08,0.0
983,0.43,0.33,0.0,0.06,18.0,7.0,1.0,Tibetan and Himalayan Mundane and Landscape Cults,600,False,90,0.73,0.21,110,0.25,0.2
984,1.0,1.0,1.0,1.0,2.0,2.0,1.0,Calvinism (Early/Reformation),1520,True,6,1.0,0.83,158,0.41,0.21
993,0.0,0.64,0.0,0.5,14.0,1.0,1.0,Pontifex Maximus and Pontifices (Pontifical College),-712,False,158,0.68,0.35,34,0.0,0.03
994,0.5,0.8,0.5,0.8,5.0,8.0,1.0,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis",330,True,110,0.75,0.28,91,0.15,0.15
997,0.0,,0.0,,,1.0,0.0,Ancient Egypt - Early Dynastic Period,-2950,False,0,,,1,0.0,0.0
1004,0.67,0.71,0.0,0.71,7.0,3.0,0.0,Religion in Roman Ostia,-200,False,147,0.71,0.37,53,0.08,0.04
1006,0.0,,0.0,,,1.0,0.0,Ancient Egypt - Old Kingdom,-2670,False,0,,,1,0.0,0.0
1008,0.0,,0.0,,,1.0,0.0,Ancient Egypt - First Intermediate Period,-2168,False,0,,,1,0.0,0.0
1012,0.5,0.83,0.75,0.0,6.0,4.0,1.0,Inhabitants of Medieval Kurgus,550,True,87,0.72,0.22,101,0.22,0.22
1013,0.0,1.0,0.0,1.0,1.0,8.0,1.0,Estado da Índia Renegades in Deccan,1510,True,1,1.0,1.0,167,0.37,0.17
1024,0.57,0.33,0.0,0.33,3.0,7.0,1.0,Universal Salvation Ritual,1200,False,15,0.6,0.2,146,0.36,0.18
1043,1.0,,1.0,,,1.0,1.0,Islam in Aceh,1500,False,0,,,1,1.0,1.0
1044,0.0,,0.0,,,5.0,0.0,Han Imperial Cult under Emperor Wu,-141,False,0,,,8,0.0,0.0
1051,0.0,,0.0,,,1.0,0.0,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt,-1960,False,0,,,1,0.0,0.0
1069,0.0,,0.0,,,1.0,0.0,Religion at Deir el-Medina,-1504,False,0,,,1,0.0,0.0
1075,0.42,,0.0,,,12.0,1.0,Dazhidu lun 大智度論,402,False,0,,,19,0.26,0.0
1076,0.25,,0.25,,,4.0,1.0,Inquisitors of Goa's Santo Ofício,1560,True,0,,,168,0.37,0.17
1077,0.0,,0.0,,,3.0,0.0,The Cherished Instruction (Baoxun 保訓),-325,False,0,,,6,0.0,0.0
1087,0.5,1.0,0.75,0.8,5.0,4.0,1.0,The Bogomils,969,True,54,0.74,0.35,112,0.27,0.21
1098,0.0,0.21,0.0,0.0,14.0,2.0,0.0,Shuzi gua excavated material,-1200,False,155,0.67,0.29,2,0.0,0.0
1124,0.0,,0.0,,,1.0,0.0,The ancient Egyptian Book of Two Ways,-2000,False,0,,,1,0.0,0.0
1129,0.0,0.67,0.0,0.42,12.0,1.0,0.0,Ancient Thessalians,-700,False,158,0.68,0.35,34,0.0,0.03
1140,0.14,0.89,0.0,0.0,9.0,7.0,0.0,Early Medieval Confucianism,220,False,111,0.75,0.24,13,0.08,0.0
1149,0.62,0.62,0.0,0.12,8.0,13.0,1.0,Christianity in Tang China,618,False,88,0.73,0.22,114,0.28,0.19
1158,0.14,0.83,0.0,0.0,6.0,7.0,0.0,Early Daoist text—Commands and Admonitions for the Families of the Great Dao (Dadaojia lingjie大道家令戒),200,False,112,0.74,0.24,12,0.08,0.0
1162,0.44,0.7,0.0,0.0,10.0,9.0,1.0,Lingbao dafa,400,False,106,0.75,0.25,18,0.22,0.0
1172,0.5,0.8,0.0,0.0,5.0,10.0,1.0,Twofold Mystery (Chongxuan 重玄),500,False,90,0.73,0.21,110,0.25,0.2
1183,0.0,0.0,0.0,0.0,1.0,3.0,0.0,Religion at Nippur in the Ur III period,-2100,False,190,0.57,0.29,4,0.0,0.0
1189,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Yādiya/Sam'al,-920,False,176,0.61,0.32,1,0.0,0.0
1191,0.33,0.75,0.0,0.62,8.0,3.0,1.0,Religion in Greco-Roman Alexandria,-300,False,155,0.68,0.35,51,0.04,0.04
1248,0.0,0.0,0.0,0.0,4.0,2.0,0.0,Religion in the Old Assyrian Period,-1972,False,189,0.57,0.3,2,0.0,0.0
1258,0.0,0.0,0.0,0.14,7.0,3.0,0.0,Religion in Judah,-1000,False,179,0.6,0.32,5,0.0,0.0
1259,0.37,0.57,0.0,0.14,7.0,19.0,0.0,"The LuWang School, the School of Lu Xiangshan and Wang Yangming",1200,False,14,0.64,0.21,149,0.37,0.18
1265,0.0,0.11,0.0,0.0,9.0,2.0,0.0,Mozi 墨子,-400,False,152,0.68,0.3,5,0.0,0.0
1268,0.0,1.0,0.33,1.0,1.0,3.0,1.0,Monotheistic Pre-Islamic South Arabia,360,False,108,0.75,0.28,91,0.15,0.15
1269,0.14,0.92,0.0,0.0,12.0,7.0,1.0,Ji shenzhou sanbao gantong lu 集神州三寶感通錄,266,False,110,0.75,0.25,14,0.07,0.0
1283,1.0,,1.0,,,1.0,0.0,Butonese Muslims,1500,False,0,,,1,1.0,1.0
1284,0.0,0.0,0.0,0.11,9.0,3.0,0.0,Religion of Phoenicia,-1200,False,181,0.6,0.31,3,0.0,0.0
1290,0.18,0.38,0.09,0.38,8.0,11.0,0.0,4QInstruction,-100,False,148,0.7,0.37,56,0.07,0.04
1294,0.0,0.0,0.0,0.0,1.0,8.0,0.0,The Autobiography of Adad-guppi,-649,False,161,0.66,0.34,34,0.0,0.03
1295,0.57,0.75,0.43,0.75,4.0,7.0,1.0,Donatism,311,True,113,0.75,0.3,85,0.15,0.14
1297,0.0,0.75,0.0,0.0,20.0,4.0,0.0,Chen-Wei Texts,56,False,146,0.71,0.31,7,0.0,0.0
1308,0.0,0.67,0.0,0.67,3.0,1.0,0.0,Jews and Jewish-Sympathizers in South Arabia,275,False,119,0.74,0.31,1,0.0,0.0
1309,0.6,0.83,0.6,0.83,6.0,10.0,1.0,Circumcellions,315,True,111,0.75,0.29,93,0.17,0.17
1322,0.43,,0.52,,,23.0,0.0,Pagans under the Emperor Julian,361,False,0,,,99,0.2,0.21
1324,0.0,0.58,0.0,0.06,36.0,7.0,1.0,Taiping jing,150,False,113,0.73,0.24,11,0.0,0.0
1333,0.35,0.65,0.26,0.83,23.0,23.0,1.0,Cult of Thecla,150,False,127,0.73,0.35,84,0.14,0.14
1335,1.0,,1.0,,,4.0,1.0,Congregation of the Oratory,1575,True,0,,,161,0.42,0.22
1337,0.0,0.0,0.0,0.0,1.0,4.0,0.0,Tell Afis (Syria),-1200,False,176,0.61,0.32,15,0.0,0.0
1338,0.64,1.0,0.64,0.75,4.0,11.0,1.0,The Sayings of the Desert Fathers,390,True,108,0.75,0.28,96,0.2,0.2
1349,0.5,0.44,0.06,0.11,9.0,16.0,0.0,The Dingxiang Wang Cult,1124,False,18,0.56,0.17,145,0.37,0.19
1352,0.0,,0.0,,,2.0,0.0,Śākadvīpīya Brāhmaṇas,2,False,0,,,2,0.0,0.0
1356,0.6,,0.53,,,15.0,1.0,The Lausiac History,419,True,0,,,101,0.22,0.22
1357,0.29,0.61,0.14,0.78,18.0,21.0,1.0,Encratites,100,True,134,0.72,0.35,70,0.14,0.11
1367,0.33,0.5,0.17,0.62,16.0,12.0,0.0,Targums,70,False,135,0.73,0.36,68,0.15,0.1
1374,1.0,1.0,1.0,0.75,4.0,4.0,1.0,The Reformed Church (Early Orthodoxy),1560,True,4,1.0,0.75,160,0.42,0.22
1375,0.0,0.0,0.0,0.0,12.0,4.0,0.0,Epic of Gilgamesh,-1900,False,187,0.58,0.3,8,0.0,0.0
1387,0.0,,0.0,,,4.0,0.0,Spring and Autumn annals of Master Lü,-247,False,0,,,6,0.0,0.0
1401,0.54,,0.38,,,13.0,0.0,"The ""On the Divine Names"" of Pseudo Denys the Areopagite",485,True,0,,,111,0.26,0.21
1426,0.4,,0.0,,,15.0,1.0,Early Missionary Christianity in China,1580,True,0,,,165,0.37,0.17
1429,0.0,0.0,0.0,0.0,7.0,3.0,0.0,Enheduana's Exaltation of Inana,-2300,False,191,0.57,0.29,3,0.0,0.0
1471,0.0,0.2,0.12,0.0,10.0,17.0,0.0,Book of Ezekiel,-593,False,161,0.66,0.34,38,0.0,0.05
1484,0.0,0.21,0.0,0.14,29.0,1.0,0.0,Mesopotamian Exorcistic Texts,-2500,False,194,0.56,0.29,1,0.0,0.0
1529,0.45,,0.45,,,11.0,1.0,Byzantine Iconoclasts (726-787 CE),720,True,0,,,124,0.32,0.2
1534,0.0,0.55,0.0,0.11,65.0,7.0,0.0,Shorter Sukhāvatīvyūha Sūtra,100,False,145,0.72,0.31,10,0.0,0.0
1540,0.33,0.0,0.17,0.0,4.0,6.0,0.0,The Sanskrit Yasna,1100,False,15,0.53,0.2,130,0.33,0.2
1544,1.0,,1.0,,,2.0,1.0,Ukrainian Greek Catholic Church,1596,True,0,,,161,0.42,0.22
1546,0.22,0.2,0.11,0.0,5.0,9.0,0.0,4QPseudo Ezekiel,-150,False,150,0.69,0.37,54,0.07,0.04
1560,0.5,0.67,0.25,0.33,3.0,4.0,0.0,‘Ara’is al-Majalis fi Qasas al-Anbiya' عَرَائِسُ الْمَجَالِسِ فِي قَصَصِ الْأَنْبِيَاءِ,1036,False,52,0.73,0.33,127,0.34,0.2
1573,0.33,,0.5,,,6.0,1.0,Al-Risala (The Message) الرسالة,767,False,0,,,127,0.34,0.2
1574,0.0,0.0,0.0,0.0,5.0,4.0,0.0,Household religion at Ur,-2000,False,189,0.57,0.3,5,0.0,0.0
1576,0.0,0.15,0.12,0.08,13.0,8.0,0.0,Book of Amos,-760,False,165,0.65,0.34,34,0.0,0.03
1581,0.0,0.3,0.17,0.26,23.0,12.0,0.0,Book of Jeremiah,-620,False,162,0.66,0.34,37,0.0,0.05
1582,0.1,0.5,0.05,0.66,44.0,21.0,1.0,Cult of Bona Dea,-300,False,154,0.68,0.36,52,0.06,0.04
1589,0.21,,0.07,,,14.0,0.0,Peshitta,2,True,0,,,62,0.08,0.03
1595,0.0,,0.0,,,4.0,0.0,The Five Yi Yin Texts,-335,False,0,,,6,0.0,0.0
1607,1.0,0.67,1.0,0.0,3.0,1.0,1.0,Zaydism and the state in Yemen,897,False,52,0.73,0.33,127,0.34,0.2
1624,0.0,0.0,0.0,0.0,2.0,7.0,0.0,Neo-Assyrian Healers (āšipu/mašmaššu-exorcists),-900,False,176,0.61,0.32,16,0.0,0.0
1628,0.58,0.71,0.25,0.29,7.0,12.0,1.0,Bad' al-Khalq wa Qasas al-Anbiya' of Kisa'i كتاب بدء الخلق وقصص الأنبياء للكسائي,1100,False,39,0.82,0.44,145,0.37,0.19
1650,0.89,,0.22,,,9.0,1.0,"كتاب"" المقدّمة ""لابن  خلدون livre  Mou qaddîma d'Abd Al Rahman Ibn Khaldoun",1332,False,0,,,169,0.44,0.21
1652,0.43,,0.43,,,7.0,1.0,Le Livre de al-'Ibana 'an 'Usul al-Diyana de al-Ash'ari كتاب الإبانة عن أصول الديانة للأشعري,874,False,0,,,131,0.36,0.2
1653,0.67,0.0,0.33,0.67,3.0,6.0,1.0,Visigothic Homoian Christianity,341,True,3,0.0,0.67,85,0.15,0.14
1657,0.67,,0.5,,,6.0,0.0,The Institutes of John Cassian,420,True,0,,,87,0.16,0.16
1659,0.8,0.0,0.4,1.0,1.0,5.0,0.0,The Conferences of John Cassian,420,True,1,0.0,1.0,86,0.16,0.15
1661,0.0,0.17,0.0,0.0,12.0,4.0,0.0,Ludlul Bel Nemeqi,-1300,False,180,0.6,0.31,14,0.0,0.0
1664,0.86,1.0,0.43,1.0,1.0,7.0,0.0,The Didache,50,True,135,0.73,0.36,68,0.15,0.1
1677,0.0,0.0,0.0,0.0,3.0,3.0,0.0,Royal Hittite Religion,-1650,False,182,0.59,0.31,13,0.0,0.0
1683,0.0,0.0,0.14,0.12,8.0,7.0,0.0,Book of Leviticus,-800,False,176,0.61,0.32,8,0.0,0.12
1689,0.6,,0.4,,,5.0,1.0,The Isma'ilis in the Ottoman Empire,1516,False,0,,,168,0.43,0.21
1695,0.0,0.53,0.0,0.03,34.0,4.0,0.0,"Xiaojing ""Classic of Filial Piety""",-230,False,148,0.7,0.3,6,0.0,0.0
1697,0.56,0.84,0.44,0.34,32.0,16.0,1.0,Stylite Monks,450,True,95,0.74,0.27,110,0.25,0.2
1701,1.0,1.0,1.0,1.0,5.0,2.0,1.0,The Premonstratensian Order in the Middle Ages,1120,True,20,1.0,0.55,156,0.4,0.2
1708,1.0,0.6,0.0,0.4,5.0,1.0,1.0,الإباضية  Al-Ibadia,708,False,79,0.72,0.23,123,0.33,0.2
1709,1.0,1.0,0.33,0.44,9.0,6.0,1.0,Almohads (al-Muwaḥḥidūn),1115,False,25,0.96,0.52,136,0.38,0.19
1735,0.71,0.78,0.14,0.0,9.0,14.0,0.0,كتاب الملل والنحل لعبد الكريم ابو الفتح الشهرستاني,1127,True,21,0.76,0.19,147,0.38,0.18
1737,0.5,0.76,0.5,0.12,25.0,8.0,0.0,الإمامية Al-Imamia,661,False,80,0.72,0.24,123,0.33,0.2
1759,1.0,0.88,0.44,0.12,8.0,9.0,1.0,الطريقة الشاذلية = Attarika Achadoulia,1195,False,10,0.9,0.1,157,0.41,0.2
1763,0.24,1.0,0.03,0.4,5.0,29.0,0.0,Uḍḍīśatantra,1400,False,5,1.0,0.4,166,0.37,0.17
1774,1.0,,0.2,,,5.0,1.0,إباضية جزيرة جربة Ibadis of Jerba,1557,False,0,,,169,0.44,0.22
1778,0.31,0.81,0.25,0.48,27.0,16.0,0.0,Le Conflit d'Adam et Eve contre Satan ou The first and the Second hidden book of Adam and Eve صراع آدم وحوّاء ضدّ الشيطان,300,True,118,0.75,0.31,90,0.16,0.14
1785,0.75,,0.75,,,4.0,1.0,Carmen de Incendio,1197,True,0,,,113,0.27,0.22
1791,0.67,0.5,0.17,0.5,2.0,6.0,0.0,"الطريقة القادرية في بغداد: فترة التأسيس ق12 Attarika Al Qadiria à Bagdad: la période fondatrice, le XIIe siècle",1100,False,40,0.82,0.42,144,0.38,0.19
1816,0.33,0.7,0.0,0.1,10.0,6.0,0.0,The Zhen'gao,365,False,107,0.75,0.25,15,0.13,0.0
1847,0.0,0.0,0.0,0.0,2.0,1.0,0.0,Arthaśāstra,-300,False,147,0.71,0.31,1,0.0,0.0
1855,0.0,0.0,0.0,0.0,8.0,7.0,0.0,Atra-Hasīs,-1700,False,183,0.59,0.31,12,0.0,0.0
1871,0.0,0.0,0.0,0.0,2.0,5.0,0.0,Inana's descent to the nether world,-1900,False,188,0.57,0.3,7,0.0,0.0
1898,0.0,0.0,0.0,0.0,4.0,7.0,0.0,Shurpu Incantation Series,-1300,False,178,0.61,0.31,15,0.0,0.0
1903,0.6,0.68,0.25,0.09,34.0,20.0,1.0,The 'Abbāsids,750,True,78,0.72,0.22,126,0.33,0.2
1908,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"Buddhist Traders in the Chinese Quarter in Hakata, Japan",1100,False,1,0.0,0.0,11,0.0,0.0
1924,0.0,0.33,0.12,0.0,6.0,8.0,0.0,The Deuteronomistic History,-700,False,163,0.66,0.34,35,0.0,0.03
1976,0.6,,0.4,,,5.0,1.0,Who is not assisted by the religious scholar(The Jurist) (Man La Yahdhuruhu al-Faqih) من لا يحضره الفقيه,916,False,0,,,131,0.36,0.2
1983,0.48,0.8,0.48,0.8,5.0,21.0,1.0,Early Byzantine Asceticism,400,True,107,0.75,0.27,100,0.21,0.21
1989,0.0,0.78,0.0,0.56,9.0,1.0,0.0,Iron Age Celtic Spain and Portugal (Celtiberia),-600,False,157,0.68,0.35,34,0.0,0.03
1993,0.0,0.64,0.0,0.5,14.0,3.0,0.0,Ancient Boeotians,-600,False,158,0.68,0.35,34,0.0,0.03
1997,0.29,1.0,0.0,0.0,5.0,7.0,1.0,Hundred and eighty precepts of Lord Lao,300,False,108,0.75,0.25,15,0.13,0.0
1998,0.64,0.5,0.0,0.12,8.0,14.0,1.0,The Chinese Christian Scroll Pelliot chinois 3847,635,False,87,0.72,0.22,115,0.29,0.19
2001,0.0,0.0,0.12,0.0,3.0,8.0,0.0,The Book of Deuteronomy,-700,True,163,0.66,0.34,35,0.0,0.03
2016,0.64,0.78,0.36,0.22,9.0,14.0,1.0,الدولة الفاطمية Fatimid Dynasty,909,False,57,0.75,0.3,132,0.36,0.2
2023,0.71,1.0,0.57,0.25,4.0,7.0,1.0,الدولة الزيرية Zirid Dynasty,971,False,27,0.96,0.48,134,0.37,0.19
2025,1.0,1.0,0.0,0.17,6.0,1.0,1.0,"The Satisfaction of Souls and Words of the Wise concerning the scholars and righteous ones buried in Fez, by Muhammad ibn Ja'far al-Kattani",1000,False,26,0.96,0.5,135,0.38,0.19
2031,0.67,1.0,0.67,0.0,3.0,6.0,1.0,الدولة الأغلبية The Aghlabid Dynasty,800,False,63,0.78,0.27,128,0.34,0.2
2038,0.4,1.0,0.6,1.0,6.0,5.0,1.0,"Cathars, Catharism, Albigenses, Albigensians, Cathari, Catharistae, ""Pure Christians""",1000,True,25,0.96,0.56,115,0.27,0.22
2039,0.0,0.21,0.0,0.17,24.0,5.0,0.0,Psalm 109,-1000,True,178,0.61,0.31,6,0.0,0.0
2055,0.0,0.0,0.0,0.0,6.0,6.0,0.0,An Akkadian Tamitu-Query,-1800,False,184,0.59,0.3,9,0.0,0.0
2057,0.0,,0.0,,,1.0,0.0,Paskuwatti’s Ritual to Cure Sexual Dysfunction,-1400,False,0,,,14,0.0,0.0
2071,0.25,0.0,0.08,0.5,2.0,12.0,0.0,"Songs of the Sage (4Q510, 4Q511)",-30,False,143,0.71,0.37,60,0.08,0.03
2075,0.9,1.0,0.5,0.0,2.0,10.0,1.0,Tafsir  Al-Jami' li Ahkam Al Coran par Al-Qurtubi تفسير الجامع لأحكام القرآن للقرطبي,1214,False,8,1.0,0.12,163,0.42,0.21
2078,0.67,,0.33,,,6.0,1.0,"L'Interprétation du Coran ""Clés de l'Invisible"" تفسير ""مفاتيح الغيب""",1149,False,0,,,148,0.38,0.19
2080,0.23,0.68,0.08,0.5,28.0,13.0,0.0,Daily Communal Petitions (Tefillah/Amidah),50,False,140,0.72,0.37,62,0.08,0.03
2081,0.25,0.31,0.12,0.31,13.0,8.0,0.0,Ben Sira 36:1–22,-200,False,151,0.69,0.36,53,0.08,0.04
